Austria,167860
Belgium,211631
Denmark,122580
Finland,100952
France,1263467
Germany,1560098
Italy,1084305
Netherlands,343756
Norway,112907
Sweden,184517
Switzerland,163035
United Kingdom,1199910
Total 12 Western Europe,6515016
Ireland,82504
Greece,127880
Portugal,142753
Spain,625117
Total 13 small WEC,46112
Total 29 Western Europe,7539382
Western Offshoots
Australia,412985
New Zealand,61798
Canada,699572
United States,8019378
Total Western Offshoots,9193732
Eastern Europe
Albania,9523
Bulgaria,41828
Czechoslovakia,138730
Hungary,72345
Poland,278675
Romania,67480
Yugoslavia,108609
Total 7 East European Countries,717190
Yugoslav and Czech Successor states
Bosnia,22487
Croatia,28400
Macedonia,6730
Slovenia,25889
Serbia/Montenegro,25103
Former Yugoslavia,108609
Czech Republic,93913
Slovakia,44817
Former Czechoslovakia,138730
Successor Republics of USSR
Armenia,13889
Azerbaijan,19666
Belarus,64943
Estonia,16158
Georgia,15495
Kazakhstan,84902
Kyrgyzstan,10515
Latvia,18281
Lithuania,23192
Moldova,9425
Russian Federation,774253
Tajikistan,5688
Turkmenistan,10503
Ukraine,134542
Uzbekistan,86123
Total Former USSR,1287576
8 Latin American countries
Argentina,320364
Brazil,975444
Chile,156245
Colombia,202230
Mexico,724371
Peru,99573
Uruguay,26203
Venezuela,198105
Total 8 Latin American countries,2702535
15 Latin American countries
Bolivia,20991
Costa Rica,22908
Cuba,26896
Dominican Republic,30600
Ecuador,40059
El Salvador,16626
Guatemala,43533
Haïti,5817
Honduras,12134
Jamaica,9411
Nicaragua,7500
Panama,16400
Paraguay,16835
Puerto Rico,53826
Trinidad and Tobago,15299
Total 15 Latin American countries,338835
Total 24 small Caribbean countries,22846
Total Latin America,3064216
16 East Asian countries
China,4319339
India,1899526
Indonesia,675503
Japan,2667151
Philippines,193066
South Korea,662185
Thailand,395791
Taiwan,373438
Bangladesh,112371
Burma,61518
Hong Kong,155337
Malaysia,177955
Nepal,24681
Pakistan,265634
Singapore,90900
Sri Lanka,69913
Total 16 East Asian countries,12144309
29 East Asian countries
Afghanistan,13508
Cambodia,14224
Laos,6615
Mongolia,2821
North Korea,25310
Vietnam,143002
Total 23 Small East Asian countries,28803
Total 29 East Asian countries,234284
15 West Asian countries
Bahrain,3212
Iran,312995
Iraq,27692
Israel,94408
Jordan,20288
Kuwait,20151
Lebanon,12198
Oman,17462
Qatar,5987
Saudi Arabia,176233
Syria,121988
Turkey,434055
United Arab Emirates,39233
Yemen,45229
West Bank and Gaza,16153
Total 15 West Asian countries,1347284
Total Asia,13725876
57 African countries
Algeria,87109
Angola,7991
Benin,8503
Botswana,6860
Burkina Faso,10416
Burundi,3284
Cameroon,16488
Cape Verde,713
Central African Republic,2265
Chad,3566
Comoro Islands,336
Congo,6221
Côte d'Ivoire,21042
Djibouti,475
Egypt,205845
Equatorial Guinea,3773
Eritrea and Ethiopia,41774
Gabon,4753
Gambia,1224
Ghana,24963
Guinea,4939
Guinea Bissau,870
Kenya,30906
Lesotho,3037
Liberia,2667
Libya,11879
Madagascar,10946
Malawi,7388
Mali,8981
Mauritania,2713
Mauritius,12563
Morocco,80052
Mozambique,24252
Namibia,6931
Niger,5115
Nigeria,143018
Reunion,3308
Rwanda,6146
São Tomé and Principe,196
Senegal,14022
Seychelles,504
Sierra Leone,1971
Somalia,6260
South Africa,175305
Sudan,34773
Swaziland,2919
Tanzania,17694
Togo,2894
Tunisia,43537
Uganda,18518
Zaire,11286
Zambia,6529
Zimbabwe,15604
Total 3 Small African countries,565
Total Africa,1175890
